Sample_ID	Batch	Scientific_Name	Date_Added
SAMN00854669	batch1	Escherichia coli KTE134	2026-02-08
SAMN24016384	batch1	Streptomyces sp. NBC_01092	2026-02-08
SAMN16516440	batch1	Burkholderia sp. R-70006	2026-02-08
SAMN02325188	batch1	Staphylococcus aureus M0111	2026-02-08
SAMN41641040	batch1	Streptomyces sp. NPDC002322	2026-02-08
SAMN02360698	batch1	Pseudomonas aeruginosa BWHPSA026	2026-02-08
SAMN10363315	batch1	Pseudofulvimonas gallinarii	2026-02-08
SAMN02923873	batch1	Prevotella histicola	2026-02-08
SAMN44682062	batch1	Rubrivivax sp. CRBC_G2382	2026-02-08
SAMN05720615	batch1	Stenotrophomonas sp. SC-N050	2026-02-08
SAMN41497076	batch1	Pseudarthrobacter sp. NPDC089323	2026-02-08
SAMN42323611	batch1	Burkholderiaceae bacterium P2_H11	2026-02-08
SAMEA117660510	batch1	Paenibacillus tarimensis	2026-02-08
SAMN41878472	batch1	Geobacillus sp. G4	2026-02-08
SAMN06317462	batch1	Thioalkalivibrio halophilus	2026-02-08
SAMEA4427116	batch1	Enterobacter cloacae complex sp. SCP06-81	2026-02-08
SAMN03159344	batch1	Pseudomonas sp. NFPP11	2026-02-08
SAMN41641552	batch1	Streptomyces sp. NPDC042377	2026-02-08
SAMN34996615	batch1	Citrobacter sp. UMB8248A	2026-02-08
SAMN08323857	batch1	Pseudomonas sp. FW306-2-2C-D06C	2026-02-08
SAMN00710305	batch1	Veillonella atypica UC1_FAA_A	2026-02-08
SAMD00194691	batch1	Raoultella sp. WP9-W19-ESBL-04	2026-02-08
SAMN02680256	batch1	Escherichia coli 5-172-05_S4_C1	2026-02-08
SAMN41498391	batch1	Streptomyces sp. NPDC005209	2026-02-08
SAMN02745910	batch1	Priestia endophytica DSM 13796	2026-02-08
SAMN25653525	batch1	Kocuria sp. p3-SID1433	2026-02-08
SAMN12676247	batch1	Pseudoflavonifractor sp. SW1122	2026-02-08
SAMN02231140	batch1	Mycobacterium tuberculosis MAL020102	2026-02-08
SAMN02194824	batch1	Firmicutes bacterium JGI 0000119-C08	2026-02-08
SAMN02391348	batch1	Staphylococcus aureus 2011-60-2275-1	2026-02-08
SAMN05443999	batch1	Roseovarius azorensis	2026-02-08
SAMEA6372297	batch1	Roseomonas sp. 18066	2026-02-08
SAMN15791685	batch1	Acetobacter sp. P5B1	2026-02-08
SAMEA2203428	batch1	Lacticaseibacillus saniviri	2026-02-08
SAMN02441808	batch1	Afipia sp. 1NLS2	2026-02-08
SAMN26198797	batch1	Aeromonas sp. 19GA03SA06-2	2026-02-08
SAMN02597224	batch1	Pseudomonas sp. LAMO17WK12:I4	2026-02-08
SAMN29503700	batch1	Citrobacter sp. 31B19CPO006	2026-02-08
SAMN02402613	batch1	Staphylococcus aureus H83025	2026-02-08
SAMEA6415063	batch1	Hyphomicrobium sp. ghe19	2026-02-08
SAMN33288018	batch1	Streptomyces sp. ME02-6979.5a	2026-02-08
SAMEA2173699	batch1	Liquorilactobacillus aquaticus	2026-02-08
SAMN24016361	batch1	Amycolatopsis sp. NBC_01038	2026-02-08
SAMN38415648	batch1	Salmonella sp. Plate2-C3_S30	2026-02-08
SAMN05418131	batch1	Vibrio sp. 10N.286.45.B6	2026-02-08
SAMN00013141	batch1	Clostridiales bacterium ORNL_6EZ3_SD_37	2026-02-08
SAMN29228843	batch1	Paenibacillus sp. FSL R10-2734	2026-02-08
SAMN44081071	batch1	Mycobacterium sherrisii	2026-02-08
SAMN04487785	batch1	Dyella jiangningensis	2026-02-08
SAMEA14494049	batch1	Tepidibacter aestuarii	2026-02-08
SAMN02402511	batch1	Staphylococcus aureus H15899	2026-02-08
SAMN10868585	batch1	Meiothermus sp. PNK-Is4	2026-02-08
SAMN05216284	batch1	Micromonospora sediminimaris	2026-02-08
SAMN09908312	batch1	Meiothermus luteus	2026-02-08
SAMN02194928	batch1	Flavobacterium daejeonense DSM 17708	2026-02-08
SAMN02404859	batch1	Bilophila wadsworthia AC2_8_11_AN_D5_FAA_1	2026-02-08
SAMN12811514	batch1	Thermotoga sp. RQ7 NT055_5	2026-02-08
SAMD00501448	batch1	Enterobacter cancerogenus	2026-02-08
SAMN33841339	batch1	Escherichia coli O155	2026-02-08
SAMN01828154	batch1	Acinetobacter pittii ATCC 19004 = CIP 70.29	2026-02-08
SAMN04457513	batch1	Streptococcus agalactiae SGBS005	2026-02-08
SAMN36329571	batch1	Xanthomonas sp. WHRI 10064B	2026-02-08
SAMN02584969	batch1	Eubacterium xylanophilum ATCC 35991	2026-02-08
SAMN00990695	batch1	Salmonella enterica subsp. enterica serovar Montevideo str. FSL_R8-4922	2026-02-08
SAMN45137550	batch1	Salmonella sp. C112	2026-02-08
SAMN46853594	batch1	Halomonas sp. SFH0013	2026-02-08
SAMEA3529277	batch1	Thalassobacter stenotrophicus	2026-02-08
SAMN00199316	batch1	Escherichia coli DEC11B	2026-02-08
SAMN06453968	batch1	Desulfovibrionaceae bacterium UBA5821	2026-02-08
SAMN02385461	batch1	Staphylococcus aureus F43199	2026-02-08
SAMN08366473	batch1	Pseudomonas sp. MPR-ANC1	2026-02-08
SAMN08775694	batch1	Pseudomonas sp. OV529	2026-02-08
SAMN28776597	batch1	Escherichia coli O145:H28	2026-02-08
SAMN28661687	batch1	Listeria sp. PS02139A	2026-02-08
SAMEA104428444	batch1	uncultured Clostridiaceae bacterium	2026-02-08
SAMN00829382	batch1	Enterococcus faecalis EX166083VC20	2026-02-08
SAMN14503210	batch1	Escherichia sp. 8.2195	2026-02-08
SAMEA104428637	batch1	Sanguibacteroides justesenii	2026-02-08
SAMN02402554	batch1	Staphylococcus aureus T45839	2026-02-08
SAMN27022269	batch1	Streptomyces sp. XM4011	2026-02-08
SAMN41679292	batch1	Salmonella sp. SKLX144891	2026-02-08
SAMN41498456	batch1	Streptomyces halstedii	2026-02-08
SAMN30525325	batch1	Pseudomonas sp. GD03869	2026-02-08
SAMN07581374	batch1	Variovorax sp. MYb34	2026-02-08
SAMN35153874	batch1	Aerococcus sp. UMB1112A	2026-02-08
SAMN36410539	batch1	Enterobacter cloacae complex sp. 201810547M	2026-02-08
SAMN06015370	batch1	Shigella sp. 127555	2026-02-08
SAMN02381566	batch1	Staphylococcus aureus SCOA6009	2026-02-08
SAMN02325394	batch1	Staphylococcus aureus M0409	2026-02-08
SAMN02404267	batch1	Staphylococcus aureus VET0473R	2026-02-08
SAMN01994717	batch1	Brucella abortus bv. 1 str. NI474	2026-02-08
SAMN02404118	batch1	Staphylococcus aureus VET0254R	2026-02-08
SAMN04875531	batch1	Pantoea sp. FDAARGOS_194	2026-02-08
SAMN02138635	batch1	Klebsiella pneumoniae BIDMC 12C	2026-02-08
SAMN02203211	batch1	Staphylococcus aureus MRSA-Lux-16	2026-02-08
SAMN42325138	batch1	Pseudomonas sp. 05N435	2026-02-08
SAMN25653399	batch1	Microbacterium sp. p3-SID131	2026-02-08
SAMN02381508	batch1	Staphylococcus aureus UCIM6053	2026-02-08
SAMN15868658	batch1	Enterobacter cloacae complex sp. ARLG-4282	2026-02-08
SAMN04452058	batch1	Candidatus Phytoplasma oryzae	2026-02-08
SAMN45000136	batch1	Paenibacillus sp. MB22_1	2026-02-08
SAMN00623104	batch1	Escherichia coli O16 str. F11119-41	2026-02-08
SAMN04488692	batch1	Halarsenatibacter silvermanii	2026-02-08
SAMN02334657	batch1	Staphylococcus aureus M1039	2026-02-08
SAMN02923969	batch1	Porphyromonas sp. HMP_JCVI_SC0253	2026-02-08
SAMN02194261	batch1	Bacteroidetes bacterium SCGC AAA027-G08	2026-02-08
SAMN02325716	batch1	Staphylococcus aureus M0806	2026-02-08
SAMEA5072908	batch1	Frankia torreyi	2026-02-08
SAMN02398746	batch1	Staphylococcus aureus H32135	2026-02-08
SAMN37144450	batch1	Streptomyces sp. A2733	2026-02-08
SAMEA7015122	batch1	Arsenophonus endosymbiont of Apis mellifera	2026-02-08
SAMN36861969	batch1	Mesorhizobium sp. 19AcW7.1.1	2026-02-08
SAMN15493147	batch1	Exiguobacterium sp. s161	2026-02-08
SAMN44745292	batch1	Sphingobium sp. CRBC_G3102	2026-02-08
SAMN11249672	batch1	Blastococcus sp. CT_GayMR19	2026-02-08
SAMEA1402186	batch1	Neisseria viridiae	2026-02-08
SAMN42324969	batch1	Stenotrophomonas sp. 01L37	2026-02-08
SAMN36410535	batch1	Enterobacter cloacae complex sp. 20178758R	2026-02-08
SAMN02381527	batch1	Staphylococcus aureus SJOS6016	2026-02-08
SAMEA117624682	batch1	uncultured Psychrobacter sp.	2026-02-08
SAMN02599048	batch1	Mycobacterium tuberculosis M1545	2026-02-08
SAMN02403518	batch1	Mycobacterium tuberculosis TB_RSA77	2026-02-08
SAMN00847700	batch1	Escherichia coli KTE125	2026-02-08
SAMN26232503	batch1	Cytobacillus sp. FSL W7-1323	2026-02-08
SAMN01885943	batch1	Escherichia coli UMEA 3264-1	2026-02-08
SAMN00739394	batch1	Leptospira weilii str. UI 14631	2026-02-08
SAMN02599009	batch1	Mycobacterium tuberculosis M1340	2026-02-08
SAMN02381559	batch1	Staphylococcus aureus SJOS6027	2026-02-08
SAMN15642161	batch1	Pseudoalteromonas sp. SG45-1	2026-02-08
SAMN02441493	batch1	Bifidobacterium sp. AGR2158	2026-02-08
SAMN44681910	batch1	Mycolicibacterium sp. CRBC_G1978	2026-02-08
SAMN02142001	batch1	Klebsiella pneumoniae UHKPC32	2026-02-08
SAMN27738345	batch1	Psychrobacter sp. AH5	2026-02-08
SAMEA6806122	batch1	Klebsiella sp. 1D-1084	2026-02-08
SAMN26363628	batch1	Peribacillus sp. Aquil_B1	2026-02-08
SAMN04457509	batch1	Streptococcus agalactiae SGBS001	2026-02-08
SAMN01885891	batch1	Escherichia coli UMEA 3065-1	2026-02-08
SAMN47623328	batch1	Escherichia coli O21:H12	2026-02-08
SAMN02384097	batch1	Staphylococcus aureus M31588	2026-02-08
SAMEA3545320	batch1	uncultured Megasphaera sp.	2026-02-08
SAMN05418138	batch1	Vibrio sp. 10N.286.45.E10	2026-02-08
SAMN41497271	batch1	Kitasatospora sp. NPDC088264	2026-02-08
SAMN46853683	batch1	Halomonas sp. SFH0102	2026-02-08
SAMN01823737	batch1	Salmonella enterica subsp. enterica serovar Urbana str. ATCC 9261	2026-02-08
SAMN02745590	batch1	Lachnospiraceae bacterium ND3006	2026-02-08
SAMN04480392	batch1	Streptococcus sp. HMSC065G04	2026-02-08
SAMN19242043	batch1	Cronobacter sp. 125_S30	2026-02-08
SAMN42953961	batch1	Salmonella sp. M312	2026-02-08
SAMN02325713	batch1	Staphylococcus aureus M0802	2026-02-08
SAMN02585895	batch1	Mycobacterium tuberculosis TKK_03_0039	2026-02-08
SAMEA112150997	batch1	Limosilactobacillus viscerum	2026-02-08
SAMN02440946	batch1	Aminicenantes bacterium SCGC AAA252-N06	2026-02-08
SAMEA114056377	batch1	Ralstonia thomasii	2026-02-08
SAMN29006852	batch1	Salmonella sp. LGC298559-0804	2026-02-08
SAMN41641208	batch1	Streptomyces sp. NPDC005224	2026-02-08
SAMN42325221	batch1	Cupriavidus sp. 10L43_2	2026-02-08
SAMN02398793	batch1	Staphylococcus aureus H43986	2026-02-08
SAMN05216368	batch1	Cryobacterium flavum	2026-02-08
SAMN35768998	batch1	Citrobacter koseri	2026-02-08
SAMN29939559	batch1	Oceanobacillus jeddahense	2026-02-08
SAMN09932418	batch1	Streptantibioticus ferralitis	2026-02-08
SAMN00809201	batch1	Enterococcus faecium EnGen0322	2026-02-08
SAMN00808967	batch1	Enterococcus faecium EnGen0143	2026-02-08
SAMN42323705	batch1	Paenisporosarcina sp. P4_E4_2	2026-02-08
SAMN08777282	batch1	Oceanicaulis sp. PT13A	2026-02-08
SAMN02440709	batch1	Streptococcus sobrinus DSM 20742 = ATCC 33478	2026-02-08
SAMN06296520	batch1	Arcticibacter pallidicorallinus	2026-02-08
SAMN02584674	batch1	Mycobacterium tuberculosis MD16573	2026-02-08
SAMN41497829	batch1	Streptomyces sp. NPDC013455	2026-02-08
SAMN44681604	batch1	Bradyrhizobium sp. CRBC_G1851	2026-02-08
SAMN02194489	batch1	Thioalkalivibrio sp. ALE25	2026-02-08
SAMN35053829	batch1	Bacillus sp. MMSF_3353	2026-02-08
SAMN07447406	batch1	Methylobacterium sp. P1-11	2026-02-08
SAMN30553206	batch1	Streptomyces sp. NBC_00751	2026-02-08
SAMN44681935	batch1	Roseateles depolymerans	2026-02-08
SAMN02360682	batch1	Pseudomonas aeruginosa BWHPSA010	2026-02-08
SAMN10363429	batch1	Marinimicrobium koreense	2026-02-08
SAMN00991079	batch1	Streptococcus agalactiae FSL S3-442	2026-02-08
SAMN02350553	batch1	Staphylococcus aureus M1369	2026-02-08
SAMN02360935	batch1	Staphylococcus aureus M1293	2026-02-08
SAMEA111347124	batch1	Alistipes finegoldii DSM 17242	2026-02-08
SAMN04363317	batch1	Salmonella enterica subsp. enterica serovar Aba	2026-02-08
SAMN02567450	batch1	Streptococcus pyogenes ABC020055281	2026-02-08
SAMN41679572	batch1	Salmonella sp. 1210_ZJ22SX0145SAL	2026-02-08
SAMN36861940	batch1	Mesorhizobium sp. 19AcRu32.1.1	2026-02-08
SAMN12811498	batch1	Thermotoga sp. RQ7 NT167_8	2026-02-08
SAMN19994139	batch1	Ensifer sp. ENS12	2026-02-08
SAMN02325698	batch1	Staphylococcus aureus M0782	2026-02-08
SAMD00433879	batch1	Microbacterium terricola	2026-02-08
SAMN00849763	batch1	Neisseria meningitidis 69166	2026-02-08
SAMN00829279	batch1	Escherichia coli 2866550	2026-02-08
SAMN02570761	batch1	Streptococcus pyogenes NGAS672	2026-02-08
SAMN02352719	batch1	Salmonella enterica subsp. enterica serovar Saintpaul str. CFSAN004133	2026-02-08
SAMN02628483	batch1	Mycobacterium tuberculosis NRITLD49	2026-02-08
SAMN00808926	batch1	Enterococcus faecalis EnGen0113	2026-02-08
SAMN02318188	batch1	Enterococcus faecium Ef_aus0092	2026-02-08
SAMN44744794	batch1	Hydrogenophaga sp. CRBC_G2752	2026-02-08
SAMN13161504	batch1	Brevundimonas sp. SPF441	2026-02-08
SAMN02787058	batch1	Pseudomonas sp. PTA1	2026-02-08
SAMN41497832	batch1	Nonomuraea dietziae	2026-02-08
SAMN29790529	batch1	Aerococcus viridans	2026-02-08
SAMN02199239	batch1	Adlercreutzia mucosicola DSM 19490	2026-02-08
SAMN09233528	batch1	Salmonella enterica subsp. enterica serovar Manhattan	2026-02-08
SAMN16617063	batch1	Microbacterium sp. VKM Ac-2870	2026-02-08
SAMN26198623	batch1	bacterium 19MO05SA06	2026-02-08
SAMN22081182	batch1	Leisingera sp. McT4-56	2026-02-08
SAMN02441255	batch1	Aminicenantes bacterium SCGC AAA252-D06	2026-02-08
SAMN31456447	batch1	Pseudomonas sp. PS01303	2026-02-08
SAMN12335636	batch1	Mucilaginibacter sp. Col-0-48	2026-02-08
SAMN02441102	batch1	Streptomyces sp. CNQ329	2026-02-08
SAMN02646384	batch1	Acinetobacter baumannii 44839_9	2026-02-08
SAMN06040405	batch1	Citrobacter freundii complex sp. CFNIH11	2026-02-08
SAMN12024025	batch1	Rhizobium sp. SG741	2026-02-08
SAMD00153207	batch1	Mycolicibacterium litorale	2026-02-08
SAMN02358653	batch1	Mycobacteroides abscessus MAB_091912_2455	2026-02-08
SAMN02228426	batch1	Clostridium botulinum E10 str. TRK02-08E3	2026-02-08
SAMN02599150	batch1	Mycobacterium tuberculosis H1329	2026-02-08
SAMN39050767	batch1	Shigella sp. PNUSAE163353	2026-02-08
SAMEA114538412	batch1	Calothrix sp. CCY0202	2026-02-08
SAMN08172496	batch1	Campylobacter sp. I2011038035	2026-02-08
SAMN41497953	batch1	Streptomyces sp. NPDC052127	2026-02-08
SAMN10349360	batch1	Salmonella sp. MA3-182	2026-02-08
SAMN10361584	batch1	Curtobacterium sp. PhB131	2026-02-08
SAMN15148462	batch1	Citrobacter sp. RHBSTW-00053	2026-02-08
SAMN02391432	batch1	Staphylococcus aureus USA_8	2026-02-08
SAMN29228717	batch1	Bacillus sp. FSL W7-1346	2026-02-08
SAMN41679314	batch1	Salmonella sp. SKLX152246	2026-02-08
SAMN07621665	batch1	Mongoliibacter ruber	2026-02-08
SAMN02403729	batch1	Staphylococcus aureus DAR3859	2026-02-08
SAMN07621040	batch1	Spirosoma oryzae	2026-02-08
SAMN03280194	batch1	Enterobacter sp. BIDMC92	2026-02-08
SAMN00854620	batch1	Escherichia coli KTE61	2026-02-08
SAMN02383742	batch1	Staphylococcus aureus H33594	2026-02-08
SAMN41679438	batch1	Salmonella sp. SKLX205076	2026-02-08
SAMN41498379	batch1	Micromonospora sp. NPDC005113	2026-02-08
SAMN37642837	batch1	Microbacterium sp. MMO-56	2026-02-08
SAMN02440584	batch1	Streptococcus equinus SN033	2026-02-08
SAMN02325512	batch1	Staphylococcus aureus M0588	2026-02-08
SAMN02358705	batch1	Mycobacterium tuberculosis DCTB0013	2026-02-08
SAMN01087913	batch1	Acinetobacter baumannii NIPH 60	2026-02-08
SAMN00631840	batch1	Escherichia coli PBC7	2026-02-08
SAMN02339955	batch1	Staphylococcus aureus M1580	2026-02-08
SAMN02325125	batch1	Staphylococcus aureus M0024	2026-02-08
SAMN02383662	batch1	Staphylococcus aureus T66292	2026-02-08
SAMN40037616	batch1	Liquorilactobacillus satsumensis	2026-02-08
SAMN02403973	batch1	Staphylococcus aureus VET0050R	2026-02-08
SAMN36861982	batch1	Mesorhizobium sp. 19LCo66.2.1	2026-02-08
SAMN33288103	batch1	Streptomyces sp. TX20-6-3	2026-02-08
SAMN02053777	batch1	Mycobacterium tuberculosis TKK-01-0044	2026-02-08
SAMN02384928	batch1	Acinetobacter baumannii 1525283	2026-02-08
SAMN02384308	batch1	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20090195	2026-02-08
SAMN02570604	batch1	Streptococcus pyogenes NGAS078	2026-02-08
SAMN25893966	batch1	Bacillus sp. FSL K6-3431	2026-02-08
SAMN01885687	batch1	Escherichia coli HVH 24 (4-5985145)	2026-02-08
SAMN26198762	batch1	bacterium 19PA01SH03	2026-02-08
SAMN09074962	batch1	Paludibacterium purpuratum	2026-02-08
SAMN41497743	batch1	Streptomyces sp. NPDC001193	2026-02-08
SAMN13335970	batch1	Spirosoma agri	2026-02-08
SAMN02360872	batch1	Staphylococcus aureus M1212	2026-02-08
SAMN02199330	batch1	Paenibacillus massiliensis subsp. panacisoli DSM 21345	2026-02-08
SAMN02384080	batch1	Staphylococcus aureus H57821	2026-02-08
SAMN02317048	batch1	Bacteroides fragilis str. 3986 N(B)19	2026-02-08
SAMEA115022803	batch1	Rhodopirellula sp. SWK7	2026-02-08
SAMD00453068	batch1	Sinorhizobium sp. irio 2b-4	2026-02-08
SAMN28816961	batch1	Acinetobacter sp. SX_22	2026-02-08
SAMN02584961	batch1	Mesoplasma chauliocola ATCC 49578	2026-02-08
SAMN02745986	batch1	bacterium UW 659-1-D12	2026-02-08
SAMN46853684	batch1	Halomonas sp. SFH0103	2026-02-08
SAMN16357200	batch1	Elizabethkingia bruuniana	2026-02-08
SAMN24016380	batch1	Streptomyces sp. NBC_01077	2026-02-08
SAMN08779352	batch1	Novosphingobium sp. GV002	2026-02-08
SAMN04160812	batch1	Salmonella enterica subsp. enterica serovar Crossness str. 1422-74	2026-02-08
SAMN15028752	batch1	Shewanella sp. DC2-4	2026-02-08
SAMN02138588	batch1	Klebsiella pneumoniae MGH 48	2026-02-08
SAMN17976689	batch1	Bradyrhizobium vignae	2026-02-08
SAMN41641691	batch1	Streptomyces sp. NPDC050823	2026-02-08
SAMN29228773	batch1	Bacillus sp. FSL W8-0445	2026-02-08
SAMN08125736	batch1	Psychrobacter sp. 4Bb	2026-02-08
SAMN02367631	batch1	Salmonella enterica subsp. enterica serovar Gera	2026-02-08
SAMEA114328062	batch1	Streptococcus pyogenes M1 GAS	2026-02-08
SAMN44795603	batch1	Bariatricus sp.	2026-02-08
SAMN02391236	batch1	Staphylococcus aureus 56824-7	2026-02-08
SAMN13885761	batch1	Mycoplasma anserisalpingitidis	2026-02-08
SAMN31060685	batch1	Orbaceae bacterium ESL0727	2026-02-08
SAMEA117660723	batch1	Ectopseudomonas mendocina	2026-02-08
SAMD00253672	batch1	Endomicrobiia bacterium	2026-02-08
SAMN09232699	batch1	bacterium M00.F.Ca.ET.159.01.1.1	2026-02-08
SAMN44744763	batch1	Ancylobacter sp. CRBC_G2525	2026-02-08
SAMN25753609	batch1	Escherichia coli O113:H21	2026-02-08
SAMN05226140	batch1	Escherichia sp. MOD1-EC6163	2026-02-08
SAMN32927451	batch1	Anoxybacteroides rupiense	2026-02-08
SAMN45989324	batch1	Enterobacter cloacae complex sp. 2024EL-00779	2026-02-08
SAMN02398858	batch1	Staphylococcus aureus H59298	2026-02-08
SAMN02138544	batch1	Enterobacter sp. MGH 4	2026-02-08
SAMN24016398	batch1	Streptomyces rubiginosohelvolus	2026-02-08
SAMN02415070	batch1	Acinetobacter baumannii 573719	2026-02-08
SAMN28816958	batch1	Acinetobacter sp. SX_19	2026-02-08
SAMN42389265	batch1	Achromobacter sp. s27	2026-02-08
SAMN01816382	batch1	Salmonella enterica subsp. enterica serovar Newport str. CFSAN001645	2026-02-08
SAMN02356601	batch1	Klebsiella pneumoniae UCI 21	2026-02-08
SAMN00768189	batch1	Bacillus cereus HuA3-9	2026-02-08
SAMN01885857	batch1	Escherichia coli HVH 218 (4-4500903)	2026-02-08
SAMN02325647	batch1	Staphylococcus aureus M0379	2026-02-08
